"";"DominiqueVanpee";"Ehsanwlv";"F1000";"GibertJosep";"HEFCE";"Impactstory";"Isabella83";"JASIST";"Juancommander";"KeitaBando";"PLOS";"RodrigoCostas1";"RouhiRoo";"SLAAcadSCS";"Stew";"We";"Wikipedia";"ZohrehZahedi";"abugseye";"altmetric";"buraktango";"csugimoto";"dbeucke";"eomalea";"ernestopriego";"figshare";"habib";"herrison";"iaravps";"isidroaguillo";"jarmosaarikko";"jenniferlin15";"juancommander";"kholmber";"kwelle";"lariviev";"machtm";"mfenner";"mrgunn";"pgroth";"rOpenSci";"ronaldfar";"skonkiel";"stefhaustein";"stew";"tafanor";"timothydbowman";"tramullas"
"isidroaguillo";0;0;0;0;2;14;0;3;1;0;0;4;4;0;0;1;0;0;1;2;0;1;0;0;4;5;0;0;0;0;0;0;1;0;7;1;0;4;0;1;0;0;0;12;2;0;1;2
"jarmosaarikko";0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"jenniferlin15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"juancommander";0;0;0;0;0;2;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;3;0;0;0;5;0;0;0;0;3;1;1;0;1;0;1;0;0;0;0
"kholmber";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"kwelle";0;0;0;0;0;3;1;0;0;0;0;2;3;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;5;0;0;0
"lariviev";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"machtm";0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0
"mfenner";0;0;0;0;2;2;0;0;0;0;2;5;3;0;0;2;0;3;3;0;0;2;0;0;2;5;0;0;0;0;0;0;10;0;0;2;0;5;1;0;2;0;0;4;0;0;2;0
"mrgunn";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;1;1;2;0;0;0;0;0;0;0
"pgroth";0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"rOpenSci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
"ronaldfar";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
"skonkiel";0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"stefhaustein";0;0;0;0;0;7;1;0;0;0;0;2;6;0;4;0;0;2;3;8;0;2;0;0;0;1;1;1;0;0;0;2;2;2;6;2;0;4;0;1;0;0;1;0;0;0;2;0
"stew";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tafanor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
"timothydbowman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0
"tramullas";0;0;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;0;0;2;0;6;2;0;8;0;0;0;0;0;4;0;0;2;0
